Rk,Player Name,Nationality,Position,Clubs,Age,Born,Match Played,Starts,Minutes,90s,Goals,Assists,G+A,G-PK,Penalty Kicks,Penalty Kicks attempts,Yellow Cards,Red Cards,Expected Goals,Non Penalty Expected Goals,Expected Assists Goals,npxG+xAG,Progressive Carries,Prograssive Passes,Progressive Passes Rec
427,Harrison Reed,eng ENG,MF,Fulham,27,1995,37,35,"2,866",31.8,3,4,7,3,0,0,5,0,1.9,1.9,4.1,6,30,102,107
428,Bobby Reid,jm JAM,"FW,DF",Fulham,29,1993,36,29,"2,475",27.5,4,1,5,4,0,0,8,0,3.9,3.9,1.7,5.6,46,63,186
429,Declan Rice,eng ENG,MF,West Ham,23,1999,37,36,"3,273",36.4,4,1,5,4,0,1,5,0,2.4,1.6,3.2,4.8,88,240,37
430,Chris Richards,us USA,DF,Crystal Palace,22,2000,9,4,447,5,0,0,0,0,0,0,0,0,0.7,0.7,0.3,1,4,14,3
431,Richarlison,br BRA,"MF,FW",Tottenham,25,1997,27,12,"1,010",11.2,1,3,4,1,0,0,3,0,3.3,3.3,2.2,5.5,33,28,75
432,Jaïro Riedewald,nl NED,"DF,MF",Crystal Palace,25,1996,6,0,64,0.7,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,1,1,1
433,Matt Ritchie,sct SCO,"FW,MF",Newcastle Utd,32,1989,7,0,39,0.4,0,0,0,0,0,0,0,0,0,0,0.1,0.1,1,1,9
434,Andrew Robertson,sct SCO,DF,Liverpool,28,1994,34,29,"2,583",28.7,0,8,8,0,0,0,3,0,1.3,1.3,6.1,7.4,80,166,194
435,Antonee Robinson,us USA,DF,Fulham,24,1997,35,35,"3,088",34.3,0,1,1,0,0,0,8,0,0.1,0.1,1.3,1.4,112,129,153
436,Joel Robles,es ESP,GK,Leeds United,32,1990,4,4,360,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
437,Marc Roca,es ESP,MF,Leeds United,25,1996,32,29,"2,315",25.7,1,2,3,1,0,0,7,0,2.1,2.1,2.9,5,25,172,28
438,Marek Rodák,sk SVK,GK,Fulham,25,1996,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
439,Rodri,es ESP,MF,Manchester City,26,1996,36,34,"2,911",32.3,2,6,8,2,0,0,5,0,4.6,4.6,4.1,8.7,76,260,37
440,Rodrigo,es ESP,"FW,MF",Leeds United,31,1991,31,23,"1,935",21.5,13,1,14,12,1,1,6,0,8.1,7.3,1.8,9.1,40,44,143
441,Mads Roerslev,dk DEN,DF,Brentford,23,1999,20,12,"1,108",12.3,0,0,0,0,0,0,0,0,0.3,0.3,1.2,1.5,8,19,36
442,Cristian Romero,ar ARG,DF,Tottenham,24,1998,27,26,"2,364",26.3,0,1,1,0,0,0,11,1,1.5,1.5,1.2,2.6,19,92,9
443,Oriol Romeu,es ESP,MF,Southampton,30,1991,1,1,74,0.8,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0
444,Cristiano Ronaldo,pt POR,FW,Manchester Utd,37,1985,10,4,525,5.8,1,0,1,1,0,0,2,0,1.9,1.9,0.4,2.3,9,12,33
445,Connor Ronan,ie IRL,MF,Wolves,24,1998,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
446,Salomón Rondón,ve VEN,FW,Everton,32,1989,7,1,109,1.2,0,0,0,0,0,0,0,0,0.8,0.8,0.2,1,0,1,7
447,Joe Rothwell,eng ENG,MF,Bournemouth,27,1995,20,12,"1,016",11.3,0,1,1,0,0,0,1,0,0.2,0.2,1,1.2,12,33,12
448,Georginio Rutter,fr FRA,"FW,MF",Leeds United,20,2002,11,1,273,3,0,1,1,0,0,0,0,0,0.4,0.4,0.3,0.7,5,6,21
449,José Sá,pt POR,GK,Wolves,29,1993,36,36,"3,240",36,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
450,Marcel Sabitzer,at AUT,MF,Manchester Utd,28,1994,11,7,627,7,0,1,1,0,0,0,1,0,0.7,0.7,0.9,1.7,8,38,26
451,Allan Saint-Maximin,fr FRA,FW,Newcastle Utd,25,1997,25,12,"1,120",12.4,1,5,6,1,0,0,1,0,1.6,1.6,4.6,6.2,93,69,111
452,Bukayo Saka,eng ENG,FW,Arsenal,20,2001,38,37,"3,181",35.3,14,11,25,12,2,3,6,0,11.2,9.1,8.5,17.6,179,109,520
453,Mohamed Salah,eg EGY,FW,Liverpool,30,1992,38,37,"3,290",36.6,19,12,31,17,2,4,2,0,21.7,18.5,7.7,26.2,120,149,421
454,William Saliba,fr FRA,DF,Arsenal,21,2001,27,27,"2,415",26.8,2,1,3,2,0,0,4,0,0.9,0.9,1.2,2.1,13,99,2
455,Mohammed Salisu,gh GHA,DF,Southampton,23,1999,22,21,"1,973",21.9,0,1,1,0,0,0,5,0,1.5,1.5,0.6,2.1,5,82,4
456,Albert Sambi Lokonga,be BEL,MF,Arsenal,22,1999,6,2,198,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2
457,Albert Sambi Lokonga,be BEL,MF,Crystal Palace,22,1999,9,6,536,6,0,0,0,0,0,0,2,0,0.2,0.2,0,0.2,2,20,2
458,Davinson Sánchez,co COL,DF,Tottenham,26,1996,18,8,858,9.5,0,0,0,0,0,0,1,0,0.6,0.6,0.4,1,5,35,4
459,Robert Sanchez,es ESP,GK,Brighton,24,1997,23,23,"2,070",23,0,0,0,0,0,0,2,0,,,,,,,
460,Jadon Sancho,eng ENG,"FW,MF",Manchester Utd,22,2000,26,21,"1,686",18.7,6,3,9,6,0,0,0,0,4.2,4.2,5,9.2,88,76,173
461,Morgan Sanson,fr FRA,MF,Aston Villa,27,1994,2,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
462,Pablo Sarabia,es ESP,"FW,MF",Wolves,30,1992,13,9,765,8.5,1,0,1,1,0,0,3,0,3.1,3.1,0.8,3.9,17,41,54
463,Jeremy Sarmiento,ec ECU,MF,Brighton,20,2002,9,1,176,2,0,1,1,0,0,0,1,0,0.3,0.3,0.2,0.5,5,11,20
464,Gianluca Scamacca,it ITA,FW,West Ham,23,1999,16,11,926,10.3,3,0,3,3,0,0,3,0,2.5,2.5,0.7,3.1,13,17,48
465,Gustavo Scarpa,br BRA,"MF,FW",Nott'ham Forest,28,1994,6,2,181,2,0,0,0,0,0,0,1,0,0.3,0.3,0,0.3,9,12,4
466,Kevin Schade,de GER,FW,Brentford,20,2001,18,7,732,8.1,0,1,1,0,0,0,2,0,2.1,2.1,1.1,3.2,24,15,57
467,Fabian Schär,ch SUI,DF,Newcastle Utd,30,1991,36,36,"3,206",35.6,1,3,4,1,0,0,7,0,4.9,4.9,3.3,8.2,27,139,32
468,Jeffrey Schlupp,gh GHA,"MF,FW",Crystal Palace,29,1992,34,30,"2,531",28.1,3,1,4,3,0,0,7,0,3.2,3.2,1.4,4.6,32,98,67
469,Nélson Semedo,pt POR,DF,Wolves,28,1993,36,31,"2,632",29.2,0,1,1,0,0,0,11,1,0.4,0.4,0.7,1.2,50,110,147
470,Antoine Semenyo,gh GHA,"FW,MF",Bournemouth,22,2000,11,2,258,2.9,1,0,1,1,0,0,0,0,0.3,0.3,0.1,0.4,5,5,11
471,Marcos Senesi,ar ARG,DF,Bournemouth,25,1997,31,29,"2,491",27.7,2,0,2,2,0,0,7,0,1.6,1.6,0.5,2.1,9,66,3
472,Ryan Sessegnon,eng ENG,DF,Tottenham,22,2000,17,9,813,9,2,0,2,2,0,0,4,0,1.6,1.6,1.1,2.7,24,22,64
473,Luke Shaw,eng ENG,DF,Manchester Utd,27,1995,31,30,"2,552",28.4,1,2,3,1,0,0,8,0,1.1,1.1,3.6,4.7,53,140,76
474,Jonjo Shelvey,eng ENG,MF,Newcastle Utd,30,1992,3,0,37,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
475,Jonjo Shelvey,eng ENG,MF,Nott'ham Forest,30,1992,8,6,540,6,0,0,0,0,0,0,2,0,0.2,0.2,0.3,0.5,1,34,0
476,Bernardo Silva,pt POR,"MF,FW",Manchester City,27,1994,34,24,"2,205",24.5,4,5,9,4,0,0,5,0,2.2,2.2,3.3,5.4,90,130,188
477,Thiago Silva,br BRA,DF,Chelsea,37,1984,27,26,"2,352",26.1,0,2,2,0,0,0,2,0,1.5,1.5,0.5,2,8,104,2
478,Ellis Simms,eng ENG,FW,Everton,21,2001,11,2,228,2.5,1,0,1,1,0,0,0,0,0.9,0.9,0.1,0.9,2,4,19
479,Luis Sinisterra,co COL,FW,Leeds United,23,1999,19,13,867,9.6,5,0,5,5,0,0,3,1,3.7,3.7,0.4,4.2,30,39,84
480,Oliver Skipp,eng ENG,MF,Tottenham,21,2000,23,18,"1,491",16.6,1,0,1,1,0,0,7,0,0.3,0.3,0.6,0.9,14,56,25
481,Adam Smith,eng ENG,DF,Bournemouth,31,1991,37,34,"2,943",32.7,0,1,1,0,0,0,11,0,0.5,0.5,1.3,1.8,28,83,54
482,Emile Smith Rowe,eng ENG,"MF,FW",Arsenal,22,2000,12,0,172,1.9,0,2,2,0,0,0,0,0,0.3,0.3,0.7,1,2,7,11
483,Cédric Soares,pt POR,DF,Arsenal,30,1991,2,0,29,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
484,Cédric Soares,pt POR,DF,Fulham,30,1991,6,2,198,2.2,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,4,12,12
485,Dominic Solanke,eng ENG,"FW,MF",Bournemouth,24,1997,33,32,"2,860",31.8,6,7,13,6,0,0,2,0,9.1,9.1,3.9,13,70,47,167
486,Manor Solomon,il ISR,FW,Fulham,23,1999,19,4,572,6.4,4,0,4,4,0,0,0,0,1.2,1.2,0.4,1.6,16,24,51
487,Tomáš Souček,cz CZE,MF,West Ham,27,1995,36,32,"2,815",31.3,2,3,5,2,0,0,3,0,4,4,1.9,6,11,88,52
488,Boubakary Soumaré,fr FRA,MF,Leicester City,23,1999,26,20,"1,629",18.1,0,0,0,0,0,0,9,0,0,0,0.4,0.4,17,73,20
489,Harry Souttar,au AUS,DF,Leicester City,23,1998,12,11,992,11,0,1,1,0,0,0,2,0,1.4,1.4,0.2,1.6,6,29,4
490,Çağlar Söyüncü,tr TUR,DF,Leicester City,26,1996,7,6,529,5.9,1,0,1,1,0,0,2,0,0.4,0.4,0.1,0.5,5,12,0
491,Djed Spence,eng ENG,"FW,DF",Tottenham,21,2000,4,0,7,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,2,0,2
492,Jack Stacey,eng ENG,DF,Bournemouth,26,1996,10,3,299,3.3,0,0,0,0,0,0,2,0,0.1,0.1,0,0.1,9,2,15
493,Junior Stanislas,eng ENG,MF,Bournemouth,32,1989,4,0,61,0.7,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0,4,5
494,Jay Stansfield,eng ENG,FW,Fulham,19,2002,3,1,87,1,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.3,2,0,4
495,Jason Steele,eng ENG,GK,Brighton,31,1990,15,15,"1,350",15,0,1,1,0,0,0,1,0,0,0,0.1,0.1,0,0,0
496,Jack Stephens,eng ENG,DF,Southampton,28,1994,2,0,46,0.5,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0
497,Jack Stephens,eng ENG,DF,Bournemouth,28,1994,15,13,"1,173",13,0,0,0,0,0,0,3,0,0.4,0.4,0.2,0.6,7,34,3
498,Raheem Sterling,eng ENG,"FW,MF",Chelsea,27,1994,28,23,"1,891",21,6,3,9,6,0,0,4,0,6.2,6.2,4.6,10.8,81,59,186
499,John Stones,eng ENG,"DF,MF",Manchester City,28,1994,23,21,"1,846",20.5,2,2,4,2,0,0,2,0,1,1,1.4,2.4,28,101,34
500,Pascal Struijk,nl NED,DF,Leeds United,22,1999,29,26,"2,200",24.4,2,1,3,2,0,0,5,0,1.4,1.4,2.4,3.7,24,119,53
501,Kamaldeen Sulemana,gh GHA,"FW,MF",Southampton,20,2002,18,10,966,10.7,2,1,3,2,0,0,1,0,1.7,1.7,1.3,3,32,36,80
502,Crysencio Summerville,nl NED,FW,Leeds United,20,2001,28,12,"1,426",15.8,4,2,6,4,0,0,4,0,2.9,2.9,1.6,4.5,51,45,92
503,Sam Surridge,eng ENG,FW,Nott'ham Forest,24,1998,20,1,323,3.6,1,0,1,1,0,0,2,0,1.8,1.8,0.1,1.8,2,6,17
504,Japhet Tanganga,eng ENG,DF,Tottenham,23,1999,4,2,146,1.6,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2
505,Matt Targett,eng ENG,DF,Newcastle Utd,26,1995,17,6,610,6.8,0,0,0,0,0,0,1,0,0,0,0.4,0.4,3,43,13
506,James Tarkowski,eng ENG,DF,Everton,29,1992,38,38,"3,420",38,1,1,2,1,0,0,6,0,3.1,3.1,2.9,6,13,106,11
507,Marcus Tavernier,eng ENG,"MF,FW",Bournemouth,23,1999,23,19,"1,743",19.4,5,4,9,5,0,0,1,0,3.1,3.1,2.9,6,67,56,137
508,Tetê,br BRA,FW,Leicester City,22,2000,13,9,734,8.2,1,0,1,1,0,0,0,0,1.8,1.8,0.4,2.2,22,26,55
509,Kenny Tete,nl NED,DF,Fulham,26,1995,31,29,"2,569",28.5,1,5,6,1,0,0,8,0,0.7,0.7,1.9,2.5,75,103,69
510,Luke Thomas,eng ENG,DF,Leicester City,21,2001,17,11,"1,073",11.9,0,0,0,0,0,0,3,0,0.1,0.1,0.7,0.8,10,48,13
511,Youri Tielemans,be BEL,MF,Leicester City,25,1997,31,27,"2,344",26,3,2,5,2,1,2,4,0,2.5,0.9,4.7,5.6,35,181,56
512,Kieran Tierney,sct SCO,DF,Arsenal,25,1997,27,6,795,8.8,0,1,1,0,0,0,0,0,0.3,0.3,0.3,0.7,25,36,31
513,Harry Toffolo,eng ENG,DF,Nott'ham Forest,26,1995,19,9,940,10.4,0,0,0,0,0,0,2,0,0.3,0.3,0.8,1,8,29,43
514,Takehiro Tomiyasu,jp JPN,DF,Arsenal,23,1998,21,6,663,7.4,0,1,1,0,0,0,2,0,0.2,0.2,0.6,0.8,14,51,28
515,James Tomkins,eng ENG,DF,Crystal Palace,33,1989,6,3,338,3.8,1,0,1,1,0,0,3,1,1,1,0,1,1,2,1
516,Ivan Toney,eng ENG,FW,Brentford,26,1996,33,33,"2,951",32.8,20,4,24,14,6,7,9,0,18.7,13.2,5.1,18.3,14,79,165
517,Adama Traoré,es ESP,"FW,MF",Wolves,26,1996,34,12,"1,496",16.6,2,1,3,2,0,0,2,0,1.4,1.4,3.7,5.1,85,36,156
518,Bertrand Traoré,bf BFA,"FW,MF",Aston Villa,26,1995,8,1,233,2.6,2,0,2,2,0,0,1,0,0.7,0.7,0.1,0.8,9,9,28
519,Boubacar Traoré,ml MLI,MF,Wolves,20,2001,10,4,411,4.6,0,1,1,0,0,0,2,0,0.1,0.1,0.2,0.2,4,8,2
520,Mark Travers,ie IRL,GK,Bournemouth,23,1999,12,11,"1,035",11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
521,Kieran Trippier,eng ENG,DF,Newcastle Utd,31,1990,38,38,"3,341",37.1,1,7,8,1,0,0,5,0,0.9,0.9,12.4,13.3,45,260,151
522,Leandro Trossard,be BEL,FW,Arsenal,27,1994,20,10,931,10.3,1,10,11,1,0,0,0,0,1.8,1.8,4.7,6.6,36,57,102
523,Leandro Trossard,be BEL,"FW,MF",Brighton,27,1994,16,16,"1,315",14.6,7,2,9,7,0,0,1,0,4.4,4.4,2.1,6.5,40,67,118
524,Kostas Tsimikas,gr GRE,DF,Liverpool,26,1996,20,9,771,8.6,0,4,4,0,0,0,3,0,0.6,0.6,1.6,2.3,23,26,77
525,Deniz Undav,de GER,"FW,MF",Brighton,26,1996,22,6,628,7,5,0,5,5,0,0,2,0,4.5,4.5,1.1,5.6,12,10,40
526,Yan Valery,tn TUN,DF,Southampton,23,1999,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
527,Virgil van Dijk,nl NED,DF,Liverpool,31,1991,32,32,"2,835",31.5,3,1,4,3,0,0,3,0,2.6,2.6,1.2,3.8,10,127,8
528,Raphaël Varane,fr FRA,DF,Manchester Utd,29,1993,24,22,"1,911",21.2,0,0,0,0,0,0,1,0,0.7,0.7,0.2,0.9,17,63,4
529,Jamie Vardy,eng ENG,FW,Leicester City,35,1987,37,19,"1,857",20.6,3,4,7,3,0,1,1,0,6.7,5.9,1.4,7.3,16,14,101
530,Joël Veltman,nl NED,DF,Brighton,30,1992,31,25,"2,188",24.3,1,1,2,1,0,0,6,0,1.8,1.8,0.7,2.5,43,153,49
531,Fabio Vieira,pt POR,"MF,FW",Arsenal,22,2000,22,3,514,5.7,1,2,3,1,0,0,0,0,0.8,0.8,2.5,3.3,8,35,40
532,Matías Viña,uy URU,DF,Bournemouth,24,1997,12,5,458,5.1,2,0,2,2,0,0,1,0,0.9,0.9,0.2,1,10,17,19
533,Rúben Vinagre,pt POR,"DF,MF",Everton,23,1999,2,0,26,0.3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
534,Carlos Vinícius,br BRA,FW,Fulham,27,1995,28,11,"1,109",12.3,5,2,7,5,0,0,3,0,3.3,3.3,0.8,4.1,9,15,46
535,Theo Walcott,eng ENG,"FW,MF",Southampton,33,1989,20,13,"1,129",12.5,2,2,4,2,0,0,1,0,2.2,2.2,2,4.2,21,14,62
536,Kyle Walker,eng ENG,DF,Manchester City,32,1990,27,22,"1,958",21.8,0,0,0,0,0,0,3,0,0.4,0.4,0.2,0.7,50,162,75
537,Kyle Walker-Peters,eng ENG,DF,Southampton,25,1997,31,30,"2,650",29.4,1,0,1,1,0,0,4,0,1,1,1.4,2.5,102,97,114
538,Aaron Wan-Bissaka,eng ENG,DF,Manchester Utd,24,1997,19,16,"1,435",15.9,0,0,0,0,0,0,2,0,1.2,1.2,1,2.2,41,55,64
539,Danny Ward,wls WAL,GK,Leicester City,29,1993,26,26,"2,340",26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
540,Joel Ward,eng ENG,DF,Crystal Palace,32,1989,28,24,"2,256",25.1,1,0,1,1,0,0,6,0,1.1,1.1,0.4,1.5,22,101,46
541,James Ward-Prowse,eng ENG,MF,Southampton,27,1994,38,38,"3,371",37.5,9,4,13,7,2,4,6,0,5.7,2.5,6.2,8.7,19,189,58
542,Ollie Watkins,eng ENG,FW,Aston Villa,26,1995,37,36,"3,127",34.7,15,6,21,14,1,2,4,0,16.5,14.9,3.8,18.7,50,39,196
543,Adam Webster,eng ENG,DF,Brighton,27,1995,27,23,"1,985",22.1,0,0,0,0,0,0,2,0,1.8,1.8,0.2,1.9,19,119,9
544,Wout Weghorst,nl NED,"FW,MF",Manchester Utd,29,1992,17,10,797,8.9,0,1,1,0,0,0,1,0,2,2,1.2,3.2,3,17,41
545,Danny Welbeck,eng ENG,FW,Brighton,31,1990,31,21,"1,854",20.6,6,3,9,6,0,0,0,0,9.4,9.4,4.3,13.7,31,49,134
546,Ben White,eng ENG,DF,Arsenal,24,1997,38,36,"3,055",33.9,2,5,7,2,0,0,5,0,1.3,1.3,3.2,4.5,64,249,124
547,Harvey White,eng ENG,MF,Tottenham,20,2001,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
548,Joseph Whitworth,eng ENG,GK,Crystal Palace,18,2004,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
549,Neco Williams,wls WAL,DF,Nott'ham Forest,21,2001,31,20,"1,882",20.9,1,0,1,1,0,0,7,0,1.3,1.3,1.4,2.7,51,33,67
550,Willian,br BRA,FW,Fulham,33,1988,27,25,"2,126",23.6,5,5,10,5,0,0,2,0,3.4,3.4,4.4,7.8,97,113,152
551,Joe Willock,eng ENG,MF,Newcastle Utd,22,1999,35,31,"2,558",28.4,3,6,9,3,0,0,1,0,7,7,6,13,97,121,152
552,Callum Wilson,eng ENG,FW,Newcastle Utd,30,1992,31,21,"1,877",20.9,18,5,23,15,3,3,4,0,17.5,15.1,2.7,17.8,27,19,118
553,Harry Wilson,wls WAL,FW,Fulham,25,1997,29,13,"1,100",12.2,2,3,5,2,0,0,1,0,2,2,0.9,2.9,18,37,87
554,Yoane Wissa,cd COD,FW,Brentford,25,1996,38,16,"1,606",17.8,7,3,10,7,0,0,3,0,5.6,5.6,2.5,8.2,24,27,104
555,Maximilian Wöber,at AUT,DF,Leeds United,24,1998,16,14,"1,266",14.1,0,0,0,0,0,0,3,0,0.7,0.7,0.6,1.4,15,54,15
556,Chris Wood,nz NZL,FW,Newcastle Utd,30,1991,18,4,446,5,2,0,2,1,1,1,0,0,1.8,1,0.3,1.3,1,4,23
557,Chris Wood,nz NZL,FW,Nott'ham Forest,30,1991,7,5,372,4.1,1,0,1,1,0,0,0,0,1,1,0.2,1.2,2,7,12
558,Joe Worrall,eng ENG,DF,Nott'ham Forest,25,1997,30,21,"2,224",24.7,1,0,1,1,0,0,6,0,0.8,0.8,0.8,1.6,5,67,1
559,Granit Xhaka,ch SUI,MF,Arsenal,29,1992,37,36,"2,993",33.3,7,7,14,7,0,0,4,0,4.7,4.7,5.2,9.9,42,196,175
560,Ryan Yates,eng ENG,MF,Nott'ham Forest,24,1997,26,21,"1,837",20.4,0,2,2,0,0,0,5,0,2.3,2.3,1.2,3.4,11,43,27
561,Ashley Young,eng ENG,DF,Aston Villa,37,1985,29,23,"2,036",22.6,1,0,1,1,0,0,7,0,0.5,0.5,1,1.4,29,107,33
562,Illia Zabarnyi,ua UKR,DF,Bournemouth,19,2002,5,3,299,3.3,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0
563,Wilfried Zaha,ci CIV,"FW,MF",Crystal Palace,29,1992,27,27,"2,288",25.4,7,2,9,7,0,2,5,0,6.5,4.8,2.7,7.5,86,75,238
564,Denis Zakaria,ch SUI,MF,Chelsea,25,1996,7,5,411,4.6,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,9,6,3
565,Jordan Zemura,zw ZIM,DF,Bournemouth,22,1999,19,17,"1,454",16.2,0,1,1,0,0,0,1,0,0.4,0.4,1.9,2.2,39,45,48
566,Oleksandr Zinchenko,ua UKR,DF,Arsenal,25,1996,27,26,"2,118",23.5,1,2,3,1,0,0,3,0,1.4,1.4,1.4,2.8,67,227,68
567,Hakim Ziyech,ma MAR,"FW,MF",Chelsea,29,1993,18,6,661,7.3,0,3,3,0,0,0,1,0,0.6,0.6,2.2,2.8,20,42,69
568,Kurt Zouma,fr FRA,DF,West Ham,27,1994,25,24,"1,989",22.1,2,0,2,2,0,0,0,0,2.2,2.2,0.1,2.3,3,31,1
569,Martin Ødegaard,no NOR,MF,Arsenal,23,1998,37,37,"3,127",34.7,15,7,22,15,0,0,4,0,10,10,8.1,18.1,83,266,193
